,Name,City,Cuisines,Average Cost,Aggregate Rating
8463,Wat-a-Burger!,Bloomington,"Bakery, Pizza, American",45,3.6
8464,Chawla's 2,Long Beach,"Pizza, Bakery, Fast Food, Indian, Seafood",17,2.2
8465,Himalaya,Melbourne,"Tea, Pizza, Indian, Seafood",11,2.3
8466,Public Cafe,Portland,"Bakery, Mediterranean, Fast Food",40,2.1
8467,RPM - Zanzi Bar,Owensboro,"Tea, Bakery, Indian, Desserts",75,2.4
8468,Mad Over Donuts,Jackson,"Tea, Cafe",96,4.2
8469,RollsKing,Belleville,"Chinese, Bakery, BBQ, Pizza",27,4.0
8470,Lumbini Food Point,Fort Leonard Wood,"Cafe, Indian, Mediterranean, BBQ",91,2.8
8471,Owlcity,Albuquerque,"Desserts, Pizza, BBQ, Indian, Seafood",100,3.6
8472,Night Munchers,Islip,"BBQ, Desserts, Seafood",72,0.0
8473,Night Munchies,Dodge City,"Seafood, BBQ, Fast Food",82,0.0
8474,Anand Food Factory,Jackson,"Pizza, BBQ, Mediterranean, Fast Food",54,2.9
8475,Nirula's,Iron Mountain,"Desserts, BBQ, Fast Food, American, Seafood",100,2.5
8476,Snacks India,Moline,"Tea, French, Pizza, Cafe",91,3.6
8477,Ahaar Udyan,Lewisburg,"Tea, Pizza, Fast Food, Cafe, Indian",11,0.0
8478,Choco Bee,Trenton,"French, Pizza, Bakery, BBQ",99,0.0
8479,Crazy Noodles,Bangor,"Pizza, Italian, BBQ, Cafe, Mediterranean, Seafood",28,0.0
8480,Dakshin Platter,Myrtle Beach,"Cafe, Bakery, Italian",56,0.0
8481,Kathi Junction,Lake Charles,"French, Bakery, Pizza, Seafood",64,0.0
8482,Sonu Parantha Corner,Presque Isle,"Tea, Bakery, BBQ, Cafe, Mediterranean",70,0.0
8483,Olive Kitchen,Mosinee,"Tea, Pizza, Desserts, Seafood",38,2.6
8484,R Cafe,Bishop,"Desserts, Tea, Mexican, Bakery, Cafe",73,3.0
8485,Eating Point,Tucson,"Tea, Bakery, Mediterranean",100,0.0
8486,New Gee Pee,Watertown,"Cafe, Pizza, Mediterranean, Desserts",42,3.3
8487,Uncle's JVCC Restaurant,Duluth,"Cafe, Pizza",12,3.0
8488,Twenty Four Seven,Dodge City,"Fast Food, Desserts, Seafood",70,0.0
8489,Hari Om Restaurant,San Antonio,"Tea, Bakery, Indian, Fast Food",98,3.0
8490,Jain Restaurant,Buffalo,"French, BBQ, Desserts",78,3.0
8491,Lajawab Family Restaurant,Norfolk,"Fast Food, Tea, Seafood",26,2.5
8492,Alam Muradabadi & Hyderabadi Biryani,Decatur,"Pizza, American, Mediterranean, Seafood",41,0.0
8493,Bala Ji Raja Dhaba,Saginaw,"Bakery, Seafood",70,0.0
8494,Brijwasi Dhaba,Kalispell,"Desserts, Tea, BBQ, Fast Food, Chinese",100,0.0
8495,Prerna Family Restaurant,Louisville,"Cafe, American, Mediterranean, Seafood",70,0.0
8496,Rana Dhaba,Lake Charles,"Desserts, Pizza, Mexican, Fast Food, Seafood",74,0.0
8497,The Food Factory,Martha's Vineyard,"Bakery, Pizza, Fast Food",74,0.0
8498,221 B Baker Street,Oakland,"Fast Food, Cafe, Desserts, Seafood",68,3.4
8499,Hunger's Hub,Hilton Head,"Tea, Bakery, Desserts, Seafood",97,3.1
8500,Lajwaab Restaurant,Ogden,"Tea, Mexican, Desserts",52,2.6
8501,Republic of Chicken,North Bend,"Pizza, Desserts",59,3.0
8502,Gauranga Sweets,Boise,"Desserts, Tea, Pizza, American, Seafood",53,0.0
8503,Green Valley Chinese Food,Palm Springs,"Pizza, BBQ, Desserts, Fast Food",27,0.0
8504,Super Cake Shop,Great Falls,"Cafe, Pizza, Fast Food",51,2.5
8505,Dev Food,Saginaw,"Desserts, Pizza, Italian, BBQ, Chinese",81,0.0
8506,Wakhra Swaad,Ithaca,"BBQ, Mediterranean, Fast Food",54,4.1
8507,27 Grills,Paducah,"Tea, Pizza, BBQ, Fast Food, Chinese",76,3.3
8508,China Hot Pot,Worcester,"Cafe, Mediterranean, Desserts, Seafood",94,3.0
8509,Himalaya Momos & Roll,Great Falls,"Cafe, Bakery, Italian",91,2.7
8510,Hungry House Pizzas & More,Fort Myers,"Tea, Italian, Fast Food, Chinese, Seafood",15,3.4
8511,Khana Khajana Da Dhaba,Walla Walla,"Bakery, Pizza, Seafood",88,2.9
8512,M.P. Chole Tikki Wala,Laramie,"Cafe, Mexican, BBQ, Bakery",23,3.0
8513,Maa Vaishno Shudh Bhojnalaya,White Plains,"Bakery, Desserts, Pizza, BBQ",18,3.1
8514,More Than Caf愆,International Falls,"French, Bakery, American, Desserts",51,3.0
8515,Public Cafe,Boston,"Bakery, Seafood",29,2.6
8516,Sadda Taste,Duluth,"Pizza, Bakery, Fast Food, Indian, Seafood",90,3.1
8517,Sati Restaurant,Hagerstown,"Desserts, Tea, Pizza, Mexican, BBQ",62,3.2
8518,Super Cake Shop,El Paso,"Tea, Mexican, BBQ, Fast Food, Mediterranean",49,2.8
8519,Uncle's Punjabi Rasoi,Minneapolis,"Cafe, BBQ, Seafood, Fast Food",40,2.9
8520,Yours Deliciously,Worcester,"Tea, Pizza, American, BBQ",76,2.9
8521,Captain Curry,Cedar Rapids,"Tea, Indian, Desserts",27,3.6
8522,Oh My Scoop!,Dubuque,"Bakery, BBQ",88,3.5
8523,Reena Restaurant,Orlando,"Fast Food, Seafood, Bakery, Italian",98,3.5
8524,Delight Food,Rock Springs,"Tea, Bakery, Pizza, Desserts",31,0.0
8525,Hungro,Rhinelander,"Tea, Pizza, Italian, Fast Food, Chinese",83,0.0
8526,Shiparma Shri,Rapid City,"Desserts, Tea, Pizza, Mexican, BBQ, Indian",67,0.0
8527,Shri Adarsh Kulfi,Kahului,"Pizza, BBQ",71,0.0
8528,Simla Bakery,Milwaukee,"Desserts, Pizza, BBQ, Cafe, Mediterranean",51,0.0
8529,Swad E Punjab,Pensacola,"Pizza, Bakery, Cafe, American, Seafood",80,0.0
8530,Vishnu Ki Rasoi,Bangor,"Seafood, Pizza, BBQ, Italian",98,0.0
8531,Pizza Hut Delivery,Yakima,"Tea, Fast Food, Desserts, Seafood",79,2.3
8532,Wah Ji Wah,Erie,"Desserts, French, Mexican, Bakery, Fast Food, Cafe",63,2.0
8533,Chawla's Chic Inn,Greenville,"Tea, French, BBQ, Seafood",39,2.8
8534,Grill Point,Jackson,"Tea, Chinese, Bakery, BBQ",33,3.2
8535,Hari Sweets,Bemidji,"Tea, Cafe, Seafood",51,3.1
8536,Sultanate of Spice,Omaha,"Chinese, Desserts, Italian, BBQ, Cafe, Seafood",95,2.9
8537,Yamu's Panchayat,Decatur,"Cafe, BBQ, Chinese, American, Seafood",27,3.2
8538,Debon,Albuquerque,"Tea, Mexican, Bakery, Cafe, Indian",31,3.5
8539,Hot & Sour,Madison,"Tea, Bakery",28,3.2
8540,Open Kitchen,Knoxville,"Pizza, Bakery, BBQ, Cafe, Indian, Mediterranean",13,3.0
8541,Truffle Muffle,Charleston,"Cafe, Seafood, Desserts, Fast Food",87,3.4
8542,Go! Biryani,Indianapolis,"Bakery, BBQ",97,3.5
8543,Tastee Chauka,Devils Lake,"Tea, Mexican, BBQ, Fast Food, Seafood",83,3.7
8544,Maharba Chicken Point,Los Angeles,"Pizza, Italian, French, BBQ, Fast Food, Cafe",68,0.0
8545,Sweet Spells,Roanoke,"Mexican, Bakery, Seafood",79,0.0
8546,Foodie,Milwaukee,"Desserts, Cafe, Italian, Chinese, Seafood",35,2.8
8547,Lapaalap,Manhattan,"Pizza, BBQ, Bakery, Cafe, Indian",20,3.0
8548,Fresh Food Factory,Yuma,"Cafe, BBQ, Seafood",61,3.9
8549,Bollycric,Brownsville,"Pizza, Bakery, Fast Food, Chinese, Seafood",86,0.0
8550,The Kitchen Factory,Portland,"Tea, Bakery, Mediterranean",77,0.0
8551,Caff愆 La Poya,Santa Fe,"Tea, Cafe, Mexican",39,3.7
8552,Elixir Health Caf愆,Des Moines,"Cafe, BBQ",42,3.7
8553,Radhey Foodz,Spokane,"Pizza, Desserts, Seafood",11,3.0
8554,The Kitchen,Billings,"Cafe, American, BBQ, Seafood",13,2.7
8555,Uncle's Treat,Spokane,"Mediterranean, Desserts, Seafood",87,3.1
8556,Wow! Momo,El Paso,"Desserts, Pizza, Fast Food, Cafe, American",78,2.6
8557,KD's Hunger Point,New Bern,"Desserts, Tea, Bakery, Cafe, Mediterranean",31,3.7
8558,Food Town,Hattiesburg,"French, Bakery, Desserts",18,0.0
8559,The Big Chefs,Salina,"Tea, Cafe, BBQ, Fast Food",98,0.0
8560,The Big Scoop,Boston,"Desserts, Fast Food",71,0.0
8561,Govinda's Restaurant,Missoula,"Desserts, Tea, French, Bakery, Chinese",30,3.0
8562,Not Just Dilli,Asheville,"Tea, Fast Food, Cafe, Mediterranean, Seafood",46,3.2
8563,RollsKing,Decatur,"French, Seafood, Fast Food",53,3.4
8564,Bunz & Dogz,Wenatchee,"BBQ, Cafe, Bakery, Desserts",71,0.0
8565,Radha Rani Bakery,Pasco,"Tea, Cafe, Bakery",17,0.0
8566,Chauhan Vatika,San Francisco,"Bakery, BBQ, Mediterranean",45,2.8
8567,Frozen Stone,Laredo,"Desserts, BBQ, Fast Food, Cafe, Mediterranean",45,3.1
8568,Kavita's Restaurant,Jamestown,"Desserts, Pizza, French, BBQ, Bakery",57,2.6
8569,Mudrika Food Factory,Pellston,"Tea, Pizza, French, Fast Food, Seafood",10,2.5
8570,Pind Balluchi,Tallahassee,"Tea, BBQ, Mediterranean, Desserts",91,2.9
8571,Zaffran- Ikshita's Kitchen,Fairbanks,"Fast Food, Mediterranean, Desserts, Seafood",50,3.0
8572,Chaayos,Sitka,"Desserts, Pizza, Fast Food, Cafe, Mediterranean",26,3.6
8573,Punjabi Tadka,Norfolk,"Tea, French, Bakery, Mediterranean, Seafood",89,3.7
8574,Cafe Krisa,Raleigh,"Fast Food, BBQ, Italian",98,0.0
8575,Chill Grill,Los Angeles,"Tea, Fast Food, Italian",41,0.0
8576,Dolce Gelato,Midland,"Tea, Pizza, Indian, Fast Food",74,0.0
8577,Maa Ka Khaana,Vernal,"Seafood, Pizza, BBQ, Fast Food",71,0.0
8578,The Beer Cafe,Augusta,"Tea, French, Mexican, BBQ, Bakery, Seafood",41,0.0
8579,Heaven's Point,Sun Valley,"Pizza, French, Bakery, Cafe, Seafood",94,3.0
8580,Kamboj's,Austin,"Desserts, Bakery, Fast Food, Cafe, American",72,2.8
8581,Mexican Pizza,Dothan,"Desserts, Indian, BBQ, Fast Food, American, Seafood",22,3.4
8582,Shahenshah,Hagerstown,"Cafe, BBQ",99,2.9
8583,Snack Chat,Asheville,"Tea, French, Bakery",48,3.4
8584,The Amazing Buger's,Twin Falls,"Desserts, BBQ, Bakery, American, Mediterranean, Seafood",22,2.9
8585,The Black Box,Christiansted,"Seafood, Pizza, Italian",100,3.1
8586,Al Bake,Lewiston,"Cafe, Mexican, BBQ",89,3.7
8587,Asian Fun,Eau Claire,"French, Bakery, Cafe, Desserts",67,3.8
8588,Burnout,Jacksonville,"Tea, Bakery, Desserts",52,3.6
8589,Cafe Fusion,Greensboro,"Cafe, Bakery, Mediterranean",44,3.7
8590,Fit Bites,Juneau,"Desserts, Pizza, Mexican, BBQ, Mediterranean",70,3.7
8591,Go Krazy,Chattanooga,"French, BBQ, Fast Food",64,3.5
8592,Green Restaurant,Brownsville,"American, Mediterranean, Desserts, Seafood",97,3.6
8593,Hunger Strike,Huntsville,"Cafe, Pizza, Indian, Fast Food",37,3.7
8594,The Munchkart Cafe,Sacramento,"Tea, Mexican, American, Fast Food",57,3.8
8595,Thee Pot,Ketchikan,"Bakery, Pizza, American, Seafood",94,3.7
8596,Waffles and Crepes,Martha's Vineyard,"Tea, Desserts, Italian",69,3.9
8597,Biryani Vice,Panama City,"Desserts, French, BBQ, Cafe, Seafood",33,0.0
8598,Chinese Chilly Sizzler,Anchorage,"Chinese, Tea, Bakery, BBQ, Cafe, Mediterranean",51,0.0
8599,Moonlight Cafe,Martha's Vineyard,"Cafe, Mexican, Bakery",82,0.0
8600,Sugar Ruffles,Reno,"Desserts, Pizza, French, BBQ, Fast Food",12,0.0
8601,Bistro 37,Eau Claire,"Bakery, Pizza, American",76,4.3
8602,Desi Swag,Mosinee,"Pizza, Bakery, Seafood",63,4.3
8603,Teasta,Texarkana,"Pizza, Italian, French, Bakery, Cafe, Seafood",94,4.1
8604,Appu Ghar Express,Owensboro,"Tea, Mexican, Bakery, Fast Food, Seafood",47,2.8
8605,Barista,Lewisburg,"French, Pizza, Cafe, Fast Food",15,3.0
8606,Burger King,Raleigh,"Cafe, Fast Food",50,3.2
8607,Keventers,Bozeman,"Desserts, Pizza, BBQ, Fast Food, Indian",39,3.1
8608,Kenny Rogers Roasters,Louisville,"Tea, Pizza, Italian, Cafe, Indian, Seafood",17,3.7
8609,McDonald's,Lake Charles,"Bakery, Fast Food",49,3.5
8610,Baskin Robbins,Alamosa,"Mexican, Pizza, Mediterranean, BBQ",56,0.0
8611,Cafe Buddy's,Cedar Rapids,"Pizza, BBQ, Seafood",21,0.0
8612,Fusionn Rolls,Orlando,"Pizza, Bakery",63,0.0
8613,Kwality Walls - Happiness Station,Fort Lauderdale,"Desserts, Indian, BBQ, Seafood",74,0.0
8614,Shakti Food & Restaurant,Greenville,"Pizza, Italian, Bakery, BBQ, Fast Food",13,0.0
8615,Domino's Pizza,Toledo,"Cafe, Fast Food",77,2.4
8616,Mr. Brown,San Angelo,"Desserts, Tea, Pizza, Fast Food, Chinese",26,4.0
8617,Chef's Bar-Be-Que,Lawton,"Cafe, BBQ, Seafood",20,3.4
8618,Sen's Sational Xpress Kitchen,Valparaiso,"Desserts, Pizza, Fast Food, Chinese, Mediterranean",32,3.0
8619,Shanghai Dreams,Mosinee,"Tea, Cafe, Mexican",37,3.0
8620,InnerChef,Boston,"Cafe, Bakery, BBQ, Seafood",75,3.3
8621,Antaryami Paratha Corner,Peoria,"Pizza, Desserts, Seafood",49,0.0
8622,F-all (Food for All),Louisville,"Tea, Pizza, Mexican, Bakery, Fast Food",42,3.4
8623,Green Restaurant,New York,"Tea, Cafe, Bakery, Desserts",74,0.0
8624,2 Bros Kitchen,Jamestown,"Tea, Bakery",46,3.2
8625,Baskin Robbins,Lewisburg,"Chinese, BBQ, Desserts, Seafood",43,3.3
8626,Big Bone - The Meat Shop,Flagstaff,"Seafood, Bakery, Desserts, Fast Food",48,3.1
8627,Biryani House,Sacramento,"Desserts, Tea, Cafe, Fast Food, Chinese",23,3.1
8628,China Hot,Atlanta,"Tea, Cafe, BBQ",13,2.9
8629,City Hut,Prescott,"Bakery, Seafood",53,2.5
8630,Defence Bakery,Evansville,"Pizza, Mexican, Bakery, Cafe, Mediterranean, Seafood",26,3.4
8631,Dhabha 27,Orlando,"Tea, French, Mexican, Bakery, Fast Food, Seafood",24,3.2
8632,Faasos,Staunton,"Cafe, Bakery, Desserts, Seafood",35,3.1
8633,Green Chick Chop,Appleton,"Tea, Italian, Bakery, Indian, Seafood",60,2.7
8634,JSB Evergreen Cool Point,Anchorage,"Desserts, Bakery, Chinese, Indian, Seafood",40,2.9
8635,JSB Evergreen Snack & Sweets,Prescott,"Mexican, Pizza, Desserts",25,3.2
8636,Keventers,Bishop,"Bakery, Indian, Desserts, Seafood",94,2.9
8637,More Than Cafe,Gulfport,"Tea, Cafe, Pizza, BBQ",77,3.3
8638,Mutfi,Phoenix,"Desserts, Bakery, Fast Food, Indian, Seafood",67,3.3
8639,Nawabi Mughlai Zaika,International Falls,"Tea, American, Desserts, Fast Food",73,3.2
8640,Ovenstory Pizza,Saipan,"Desserts, Tea, Pizza, Italian, Seafood",17,3.3
8641,ProFit Kitchen,Long Beach,"Tea, BBQ, Desserts, Seafood",14,3.4
8642,Public Cafe,Burbank,"Bakery, American, Desserts, Italian",66,2.5
8643,The Chickmunks Express,Huntsville,"Fast Food, Cafe, Desserts, Seafood",54,3.0
8644,Time to Tea,Great Falls,"Tea, Bakery",42,3.4
8645,Twenty Four Seven,Bakersfield,"Cafe, Bakery, Indian, BBQ",70,3.0
8646,Virundu,Charleston,"Fast Food, Pizza, Italian",82,2.8
8647,Be Bhukkad,Myrtle Beach,"Tea, French, Bakery, BBQ",96,3.6
8648,Behrouz Biryani,Bozeman,"Bakery, American, Seafood",27,3.5
8649,Bistro 365,White Plains,"French, Desserts, Seafood",31,3.7
8650,Engineers Da Dhaba,Punta Gorda,"French, Pizza, American, Seafood",76,3.6
8651,Hungry Minister,Huntsville,"Tea, Desserts, Seafood",36,3.5
8652,Kake Da Hotel,Kodiak,"Desserts, Tea, Italian, BBQ, American",42,3.5
8653,Biryani,Jamestown,"Tea, Pizza, BBQ, Italian",65,0.0
8654,C Cube,Moline,"Tea, Pizza, Desserts, Fast Food",42,0.0
8655,Chicago Pizza,Green Bay,"Desserts, Pizza, BBQ, Fast Food, Chinese",60,0.0
8656,Kettle & Kegs,Nashville,"Tea, Seafood",60,0.0
8657,Keventers,Killeen,"Seafood, American, BBQ, Italian",30,0.0
8658,Keventers,Charlottesville,"Desserts, Tea, Pizza, Bakery, Mediterranean",90,0.0
8659,Navab's,Florence,"Bakery, Pizza, BBQ",83,0.0
8660,Nawabi Mughlai Zaika Food Van,Martha's Vineyard,"Italian, Bakery, BBQ, Cafe, American",16,0.0
8661,NS Punjabi Swad,Dillingham,"Chinese, Mexican, Bakery, Fast Food",39,0.0
8662,Pitstop,Anchorage,"Cafe, BBQ, Desserts",54,0.0
8663,Royal Spice Restaurant,Wichita Falls,"Tea, Fast Food, Cafe, Seafood",70,0.0
8664,Sethi's,Brunswick,"Tea, Cafe, Pizza, Fast Food, Chinese",63,0.0
8665,Snacks Parties,State College,"Seafood, Pizza, Fast Food",26,0.0
8666,Peshawari Delux Restaurant,Appleton,"Tea, French, Seafood",30,2.4
8667,WTF - World's Tastiest Food,Fort Dodge,"Cafe, Pizza, Indian",56,2.4
8668,Salato Salad Studio,Hilton Head,"Tea, Pizza, Mexican, Bakery, Cafe, American",100,4.1
8669,AB Fast N Food,Harlingen,"Desserts, Tea, Pizza, Mexican, Bakery, Chinese",27,2.7
8670,Cafe 44,Saipan,"Tea, Mediterranean, Desserts",81,3.0
8671,Cafe Onion Rings,Sault Ste. Marie,"Tea, Cafe, Mediterranean",88,2.9
8672,Club 44,Provo,"Tea, Chinese, Bakery, Desserts",75,3.2
8673,Indian Curry House,Fresno,"Tea, Chinese, BBQ, Italian",17,3.1
8674,Krunchies,West Palm Beach,"Desserts, Tea, BBQ, Chinese, American",20,2.5
8675,Platefull,Branson,"Tea, Pizza, Italian, Bakery, Cafe",42,3.4
8676,Sanghai Food,Key West,"Mexican, BBQ, Seafood",32,2.9
8677,Shadev Saini Dhaba,Anchorage,"Tea, Pizza, Bakery, Italian",87,3.0
8678,Wasim Biryani Center,Norfolk,"Cafe, Bakery, American",19,2.8
8679,Hungry - I,Bishop,"Cafe, Pizza, Indian",72,3.7
8680,Smoking Tikka,Ogden,"Tea, French, Seafood",67,3.7
8681,The Fusion Food Stand,Idaho Falls,"Desserts, Cafe, Italian, BBQ, Chinese, Seafood",49,3.8
8682,44 Grills,Idaho Falls,"Seafood, Pizza, BBQ, Fast Food",97,0.0
8683,Ammi's Kitchen,Albuquerque,"Cafe, Bakery, Pizza, Desserts",70,0.0
8684,Bangali Restaurant,Kahului,"Tea, BBQ, Bakery, Desserts",99,0.0
8685,Home Cafe,Melbourne,"Cafe, American, Desserts",38,0.0
8686,Hot Chilli Food Plaza,Grand Forks,"Chinese, Seafood, Fast Food",90,0.0
8687,Kanak Kitchen,Wichita,"Fast Food, French, Desserts, Italian",83,0.0
8688,Speziato Foods,Daytona Beach,"Cafe, Pizza, BBQ, Fast Food",55,0.0
8689,The Golden Spoon,Palm Springs,"Chinese, Mexican, Pizza, Fast Food",38,0.0
8690,The Saffron Plant Restaurant,Fayetteville,"Tea, BBQ, Mediterranean, Seafood",19,0.0
8691,Zaika Tiffin Center,San Antonio,"Tea, French, Bakery, Cafe, Indian",73,0.0
8692,#Urban Caf愆,Martha's Vineyard,"Fast Food, Cafe, Italian",96,3.3
8693,Baked! Cakes & Desserts,Reno,"Tea, Seafood, Desserts, Italian",43,3.3
8694,Quick Grabs,Alexandria,"French, Pizza, BBQ, Seafood",77,3.1
8695,The Roll Van,Iron Mountain,"Tea, Pizza, French, Mexican, Fast Food, Cafe",90,2.9
8696,Balaji Restaurant & Sweets,Santa Ana,"Tea, Chinese, Bakery, Desserts",24,0.0
8697,Baskin Robbins,Spokane,"Cafe, Mexican, BBQ, Pizza",93,0.0
8698,Baskin Robbins,Midland,"Cafe, Desserts, American, BBQ",44,0.0
8699,Chandu Chat Bhandar,Philadelphia,"Desserts, Tea, Italian, BBQ, Seafood",48,0.0
8700,Foodies Park,Vernal,"Tea, Mexican, Pizza",14,0.0
8701,Noida Cakes Online,Richmond,"Cafe, Seafood, Desserts, Fast Food",92,3.0
8702,The Epicureans,Kalispell,"Bakery, BBQ, Desserts",24,3.4
8703,Bhojanam4u,Rochester,"Tea, Pizza, BBQ, Fast Food, Indian, Mediterranean",59,0.0
8704,Chocadoodledoo,Atlanta,"BBQ, Pizza, Indian, Desserts",24,0.0
8705,Chocolate Therapy by Nishi,College Station,"Tea, Mediterranean, Seafood",78,0.0
8706,Cookie House,Cheyenne,"Desserts, French, Bakery, Fast Food, Cafe",10,0.0
8707,Adhikari Fast Food Corner,Gulfport,"Chinese, BBQ, Mediterranean, Desserts",63,2.8
8708,Amrit's Agni Multi Cuisine Restaurant,Bakersfield,"Tea, Pizza, Bakery, Fast Food, American",89,2.9
8709,Punjabi Chaska,Appleton,"Tea, Bakery, Desserts",45,3.0
8710,The Choco Shop,Iron Mountain,"Tea, Pizza, Desserts",58,3.0
8711,The Taste,Provo,"Pizza, BBQ, Bakery, Cafe, Mediterranean",99,3.1
8712,Tibb's Frankie,Eugene,"Seafood, Indian, BBQ, Fast Food",82,3.4
8713,Amazing Burgers,Champaign,"American, Fast Food, Cafe, Indian, Seafood",37,0.0
8714,Kitchen Express,Ithaca,"Pizza, Mediterranean, Desserts",12,0.0
8715,Domino's Pizza,Syracuse,"Mexican, Bakery, BBQ, Fast Food, Cafe",36,2.3
8716,Public Cafe,Daytona Beach,"Chinese, Pizza, Bakery, Fast Food",67,2.4
8717,Chocopur,Bozeman,"Desserts, Tea, Bakery, BBQ, American",78,3.0
8718,Sweta Restaurant,Bozeman,"Desserts, Mexican, Bakery, Fast Food, Cafe",48,3.2
8719,Flames of Tandoor,Dallas,"Tea, Chinese, Desserts, Fast Food",57,3.5
8720,Shaivi's Kitchen,Atlanta,"French, Pizza, Seafood",77,0.0
8721,Kuppies,Clarksburg,"Bakery, Pizza, Italian",71,3.8
8722,The Urban Chulha,Owensboro,"BBQ, Desserts",56,3.5
8723,Goyal Chhole Kulche Wala,Bangor,"Pizza, Bakery, Fast Food, Cafe, Indian, Mediterranean",32,0.0
8724,Cafe Coffee Day,Hilo,"Tea, Seafood, Indian, Fast Food",64,2.7
8725,Choco House,Albuquerque,"Tea, Pizza, Desserts, Seafood",12,3.4
8726,DCK- Dana Choga's Kitchen,Brunswick,"Desserts, Tea, BBQ, Fast Food, Chinese",49,2.7
8727,Fresh and Fit Ghar Ka Khana,San Luis Obispo,"Tea, Mexican, American, Seafood",81,3.1
8728,Hungry Ullu,New York,"Tea, Bakery",94,3.3
8729,Khidmat,White Plains,"Tea, Cafe",90,3.4
8730,Lahori Restaurant,Des Moines,"French, BBQ, Cafe",98,2.5
8731,New Chinese Chilli Sizzler,Cedar City,"Tea, Italian, Bakery, Mediterranean, Seafood",45,2.7
8732,Nirmala's,Milwaukee,"Tea, Cafe, Bakery, Fast Food",26,3.4
8733,Prime Bakery,Texarkana,"Cafe, Pizza, BBQ, Fast Food",94,3.0
8734,Royal Empire Meat Shop,Paducah,"Tea, Bakery, Desserts",95,3.4
8735,Southern Treat,Minneapolis,"French, Pizza, Bakery",52,2.8
8736,Subway,Paducah,"Tea, Mexican, Bakery, BBQ, American",29,2.5
8737,The Chickmunks Caf愆,Lawton,"Pizza, Italian, Bakery, BBQ, Fast Food",70,3.2
8738,The FLIP Cafe,Pocatello,"Pizza, Italian, BBQ, Cafe, American",78,2.6
8739,Yo! China,South Bend,"BBQ, American, Desserts",95,2.5
8740,Gopala,Beaumont,"Chinese, Seafood, Fast Food",56,3.6
8741,R.I.P Cafe & Lounge,Colorado Springs,"Desserts, Mexican, Bakery, Fast Food, Indian",89,3.5
8742,Big Biryani,Minneapolis,"Tea, Pizza, French, Chinese, Seafood",52,0.0
8743,Cupcakes & More,Long Beach,"Tea, Indian, Desserts",49,0.0
8744,Heavens Food Xprs,Charlotte Amalie,"Desserts, Tea, Fast Food, Chinese, Mediterranean, Seafood",82,0.0
8745,Parul's Cooking Hub,Greer,"Cafe, Pizza, Bakery, BBQ, Chinese",30,0.0
8746,Republic of Chicken,Greensboro,"Bakery, Pizza",77,0.0
8747,Somethings Sweet,Chicago,"Bakery, BBQ, Seafood",68,0.0
8748,Chawla's宊,West Yellowstone,"French, BBQ, Cafe",12,2.3
8749,Domino's Pizza,White Plains,"Desserts, Bakery, Fast Food, Chinese, American",76,2.4
8750,Nazeer Foods,Petersburg,"Tea, Mexican, Pizza, BBQ",58,2.3
8751,Night Food Xprs,Palm Springs,"Fast Food, Pizza, American, Seafood",25,2.3
8752,Pizza Hut Delivery,Cincinnati,"Cafe, American, Fast Food",39,2.3
8753,The Caspian,Medford,"Bakery, Pizza, American, Seafood",64,2.4
8754,The Noodle Box Co.,Fort Smith,"Desserts, Tea, French, BBQ, Cafe",80,2.4
8755,WTF - World's Tastiest Food,Green Bay,"Tea, Bakery, BBQ, Fast Food, Chinese",80,2.4
8756,Biryani By Kilo,Knoxville,"Chinese, Pizza, Fast Food",17,4.1
8757,Kalpak Restaurant & Cafe,West Palm Beach,"Tea, Mexican, Pizza",24,4.3
8758,Theos,College Station,"Tea, Pizza",42,4.1
8759,Aamantran Bangla,San Diego,"Pizza, Italian, Bakery, Fast Food, Cafe",33,2.7
8760,Chung-Fu,Lansing,"Desserts, Tea, Italian, BBQ, American",75,3.0
8761,Paco Meals,Boston,"Bakery, Fast Food, Chinese, Indian, Seafood",36,2.8
8762,Reena Restaurant,Hartford,"Mexican, Pizza, Bakery, Fast Food",47,2.7
8763,Sanskriti Foods,Newburgh,"Desserts, Tea, Mexican, Cafe, Seafood",43,3.1
8764,Biryani Vice,Bemidji,"Mexican, Bakery, BBQ, Fast Food, Seafood",41,3.6
8765,Dietwholic,Bozeman,"Pizza, Mexican, Bakery, BBQ, Chinese, Seafood",12,3.7
8766,Goldenplates,Sioux City,"Pizza, Mediterranean, BBQ",90,3.6
8767,Mishti's Kitchen,Amarillo,"French, Bakery, Fast Food",79,3.6
8768,Shahenshah,Dallas,"Fast Food, Seafood, BBQ, Italian",92,3.5
8769,Ayush Chicken Point,Rhinelander,"Seafood, BBQ, Fast Food",79,0.0
8770,Baby Got Bacon,Evansville,"French, Mexican, Bakery, BBQ",61,0.0
8771,Better Butter Chicken,La Crosse,"Tea, Mexican, BBQ, Fast Food, Cafe",28,0.0
8772,Black Pepper,Kalamazoo,"Cafe, BBQ, Fast Food, Chinese, American, Seafood",36,0.0
8773,Chandni Chowk 2 China,Williston,"Pizza, BBQ",46,0.0
8774,Choco N Lush,Raleigh,"Tea, Bakery, Italian",54,0.0
8775,Friend's Restaurant,West Yellowstone,"Desserts, Mexican, BBQ, Fast Food, Cafe",10,0.0
8776,Ghar Ka Khana,Valdosta,"Desserts, Tea, Pizza, French, Mexican, Bakery",25,0.0
8777,Ghar Ka Swad,Colorado Springs,"Cafe, Seafood",58,0.0
